	Unnamed: 0	id	name	light	number	address	activate	no_available	total_bases	dock_bikes	free_bases	reservations_count	geometry.type	geometry.coordinates	Longitud	Latitud
39	39	43	39 - Plaza de la Cebada	1	39	Plaza de la Cebada nº 16 	1	0	27	20	4	0	Point	[-3.7088337, 40.4112744]	-3.72937	40.45109
40	40	44	40 - Conde de Romanones	2	40	Plaza del Conde de Romanones nº 9	1	0	24	15	8	0	Point	[-3.7049407, 40.4138846]	-3.72937	40.45109
41	41	45	41 - Antón Martín	1	41	Calle Atocha nº 54	1	0	18	13	4	0	Point	[-3.6991147, 40.4122047]	-3.72937	40.45109
42	42	46	42 - Santa Isabel	1	42	Calle Atocha nº 95	1	0	24	17	7	0	Point	[-3.6982318, 40.4107085]	-3.72937	40.45109
43	43	47	43 - Jesús y María	2	43	Calle Lavapiés nº 34	1	0	24	10	13	0	Point	[-3.7025024, 40.4101564]	-3.72937	40.45109
44	44	48	44 - Plaza de Nelson Mandela	0	44	Calle Mesón de Paredes nº 35	1	0	21	5	12	1	Point	[-3.7040666, 40.4097617]	-3.72937	40.45109
45	45	49	45 - Puerta de Toledo	2	45	Glorieta de la Puerta de Toledo nº 1	1	0	21	12	8	0	Point	[-3.7110513, 40.4070358]	-3.72937	40.45109
46	46	50	46 - Ribera de Curtidores	2	46	Calle Ribera de Curtidores nº 28	1	0	24	9	12	0	Point	[-3.7071259, 40.4053153]	-3.72937	40.45109
47	47	51	47 - Embajadores 1	2	47	Glorieta de Embajadores nº 6	1	0	24	10	13	0	Point	[-3.7028265, 40.4047851]	-3.72937	40.45109
48	48	52	48 - Embajadores 2	1	48	Glorieta de Embajadores nº 2	1	0	24	18	1	0	Point	[-3.7022591, 40.4056107]	-3.72937	40.45109
49	49	53	49 - Casa Encendida	1	49	Ronda de Atocha nº 34	1	0	24	22	2	0	Point	[-3.6992759, 40.4060941]	-3.72937	40.45109
50	50	54	50 - Museo Reina Sofía	2	50	Calle Santa Isabel nº 57	1	0	24	9	14	0	Point	[-3.6933463, 40.4083684]	-3.72937	40.45109
51	51	55	51 - Ronda de Atocha	2	51	Ronda de Atocha nº 2	1	0	27	11	13	0	Point	[-3.6935205, 40.4075606]	-3.72937	40.45109
52	52	56	52 - Plaza de Santa Ana	1	52	Plaza de Santa Ana nº 10	1	0	24	22	1	0	Point	[-3.7007164, 40.4144226]	-3.72937	40.45109
53	53	57	53 - Plaza de Lavapiés	2	53	Calle Valencia nº 1	1	0	24	15	8	0	Point	[-3.7007111, 40.4083061]	-3.72937	40.45109
54	54	58	54 - Barceló	1	54	Calle Barceló nº 7	1	0	21	19	0	0	Point	[-3.700423, 40.4266828]	-3.72937	40.45109
55	55	59	55 - Plaza de San Ildefonso	1	55	Plaza de San Ildefonso	1	0	24	22	1	0	Point	[-3.7020842, 40.4239757]	-3.72937	40.45109
56	56	60	56 - Plaza del Carmen 	3	56	Plaza del Carmen nº 1	1	1	24	0	0	0	Point	[-3.7032414, 40.4184192]	-3.72937	40.45109
57	57	61	57 - Santa Cruz del Marcenado	1	57	Calle Santa Cruz del Marcenado nº 24	1	0	24	17	6	0	Point	[-3.7126299, 40.4295658]	-3.72937	40.45109
58	58	62	58 - Augusto Figueroa	3	58	Calle Augusto Figueroa nº 33	1	1	24	0	0	0	Point	[-3.697895, 40.4222862]	-3.72937	40.45109
59	59	63	59 - Plaza de Juan Pujol	1	59	Calle Espíritu Santo nº 30	1	0	21	17	4	0	Point	[-3.7043418, 40.4255495]	-3.72937	40.45109
60	60	64	60 - Plaza de la Independencia	1	60	Plaza de la Independencia nº 6	1	0	24	18	3	0	Point	[-3.688398, 40.419752]	-3.72937	40.45109
61	61	65	61 - Narváez	0	61	Calle O'Donnell nº 28	1	0	24	4	20	0	Point	[-3.6752045, 40.4213983]	-3.72937	40.45109
62	62	66	62 - O'Donnell	0	62	Calle O'Donnell nº 50	1	0	24	5	15	0	Point	[-3.6724968, 40.4213148]	-3.72937	40.45109
63	63	67	63 - Ibiza	2	63	Calle Ibiza nº 62	1	0	24	14	10	0	Point	[-3.6708959, 40.4179237]	-3.72937	40.45109
64	64	69	65 - Antonio Maura	0	65	Calle Antonio Maura nº 15	1	0	24	6	18	2	Point	[-3.6894193, 40.4166834]	-3.72937	40.45109
65	65	71	67 - Almadén	2	67	Calle Almadén nº 28	1	0	24	15	7	0	Point	[-3.693225, 40.4108472]	-3.72937	40.45109
66	66	72	68 - Espalter	2	68	Calle Espalter nº 1	1	0	21	14	6	0	Point	[-3.6912023, 40.4128372]	-3.72937	40.45109
67	67	73	69 - Puerta del Ángel Caído	0	69	Avenida de Alfonso XII nº 54	1	0	27	5	22	0	Point	[-3.688822, 40.409808]	-3.72937	40.45109
68	68	74	70 - Puerta del Doce de Octubre	1	70	Avenida de Menéndez Pelayo nº 63	1	0	24	18	6	0	Point	[-3.6779232, 40.4153053]	-3.72937	40.45109
69	69	75	71 - Doce de Octubre	0	71	Calle Doce de Octubre nº 28	1	0	24	5	18	0	Point	[-3.6738865, 40.4159569]	-3.72937	40.45109
70	70	76	72 - Sainz de Baranda	1	72	Calle Doctor Esquerdo nº 99	1	0	24	20	4	0	Point	[-3.6691838, 40.4157413]	-3.72937	40.45109
71	71	77	73 - Plaza de los Astros	0	73	Avenida de Nazaret nº 7	1	0	24	5	18	1	Point	[-3.6689089, 40.4114475]	-3.72937	40.45109
72	72	78	74 - Puerta del Pacífico 	2	74	Avenida de Menéndez Pelayo nº 73	1	0	24	8	14	0	Point	[-3.6766813, 40.4117627]	-3.72937	40.45109
73	73	79	75 - Menéndez Pelayo	2	75	Avenida de Menéndez Pelayo con calle Poeta Esteban Villegas	1	0	24	10	14	0	Point	[-3.6784838, 40.4082805]	-3.72937	40.45109
74	74	80	76 - Puerta de Mariano de Cavia	2	76	Avenida del Mediterráneo nº 19	1	0	24	17	7	0	Point	[-3.6751352, 40.4071304]	-3.72937	40.45109
75	75	81	77 - Conde de Casal	0	77	Plaza del Conde de Casal nº 8	1	0	22	2	16	0	Point	[-3.670422, 40.40635]	-3.72937	40.45109
76	76	82	78 - Pedro Bosch	2	78	Calle Cerro de la Plata nº 2	1	0	24	10	14	0	Point	[-3.6744, 40.400789]	-3.72937	40.45109
77	77	83	79 - Puerta de Granada	0	79	Avenida de Menéndez Pelayo nº 38	1	0	24	7	16	0	Point	[-3.6803874, 40.4051451]	-3.72937	40.45109
78	78	84	80a - Atocha A	1	80a	Paseo de la Infanta Isabel nº 3	1	0	24	20	3	0	Point	[-3.6902255, 40.4075685]	-3.72937	40.45109
79	79	85	80b - Atocha B	1	80b	Paseo de la Infanta Isabel nº 3	1	0	27	23	1	0	Point	[-3.6901234, 40.4074902]	-3.72937	40.45109
80	80	86	81 - Cuesta de Moyano	2	81	Cuesta de Claudio Moyano	1	0	24	9	13	0	Point	[-3.691987, 40.409297]	-3.72937	40.45109
81	81	87	82 - Niño Jesús	0	82	Calle Doctor Esquerdo nº 161	1	0	24	6	17	0	Point	[-3.6697526, 40.4084556]	-3.72937	40.45109
82	82	88	83 - Pío Baroja	2	83	Calle Pío Baroja nº 10	1	0	24	14	9	0	Point	[-3.6745323, 40.4132995]	-3.72937	40.45109
83	83	89	84 - Valderribas	2	84	Calle Doctor Esquerdo nº 191	1	0	24	12	12	0	Point	[-3.6726019, 40.4032501]	-3.72937	40.45109
84	84	90	85 - Puerta de Madrid	0	85	Avenida de Menéndez Pelayo esquina calle O'Donnell	1	0	27	7	18	0	Point	[-3.680008, 40.421501]	-3.72937	40.45109
85	85	91	86 - Cibeles	1	86	Plaza Cibeles	1	0	21	21	0	0	Point	[-3.6933498, 40.4186516]	-3.72937	40.45109
86	86	92	87 - Ayala	0	87	Calle Ayala nº 44	1	0	24	1	23	0	Point	[-3.6832566, 40.427736]	-3.72937	40.45109
87	87	93	88 - Embajada de Italia	0	88	Calle Velázquez nº 75	1	0	24	0	23	0	Point	[-3.6838303, 40.4313576]	-3.72937	40.45109
88	88	94	89 - Conde Peñalver	0	89	Calle Ayala nº 102	1	0	24	1	22	0	Point	[-3.6752024, 40.4272582]	-3.72937	40.45109
89	89	95	90 - General Pardiñas	0	90	Calle Goya nº 18	1	0	30	4	25	0	Point	[-3.6837876, 40.4250361]	-3.72937	40.45109
90	90	96	91 - Príncipe de Vergara	0	91	Calle Hermosilla nº 70	1	0	24	5	19	0	Point	[-3.6787441, 40.426134]	-3.72937	40.45109
91	91	97	92 - Claudio Coello	0	92	Calle Claudio Coello nº 45	1	0	24	6	17	0	Point	[-3.6865463, 40.4262945]	-3.72937	40.45109
92	92	98	93 - Plaza de Colón	2	93	Calle Goya nº 1	1	0	24	10	10	0	Point	[-3.6893698, 40.4257046]	-3.72937	40.45109
93	93	99	94 - Biblioteca Nacional	1	94	Paseo de Recoletos nº 20	1	0	21	15	5	0	Point	[-3.690756, 40.4232153]	-3.72937	40.45109
94	94	100	95 - Villanueva	0	95	Calle Claudio Coello nº 109	1	0	24	5	19	0	Point	[-3.6870548, 40.4226584]	-3.72937	40.45109
95	95	101	96 - Castelló	0	96	Calle Alcalá nº 111	1	0	27	8	18	0	Point	[-3.6821793, 40.422064]	-3.72937	40.45109
96	96	102	97 - Alcalá	0	97	Avenida de Menéndez Pelayo nº 3	1	0	27	7	20	0	Point	[-3.6805189, 40.4222969]	-3.72937	40.45109
97	97	103	98 - Plaza de Felipe II	1	98	Plaza de Felipe II	1	0	24	23	1	0	Point	[-3.6758383, 40.4239447]	-3.72937	40.45109
98	98	104	99 - Alcántara	0	99	Calle Alcántara nº 2	1	0	24	3	20	0	Point	[-3.6738714, 40.4261851]	-3.72937	40.45109
99	99	105	100 - Palacio de Deportes	1	100	Calle Goya nº 99	1	0	24	21	3	0	Point	[-3.67384, 40.42478]	-3.72937	40.45109
100	100	106	101 - Jorge Juan	2	101	Calle Jorge Juan nº 131	1	0	24	8	16	0	Point	[-3.6691524, 40.4231526]	-3.72937	40.45109
101	101	107	102 - Velázquez	0	102	Calle Alcalá nº 95	1	0	24	5	18	0	Point	[-3.6840229, 40.4211802]	-3.72937	40.45109
102	102	108	103 - Ortega y Gasset	3	103	Calle José Ortega y Gasset nº 4	1	1	24	0	0	0	Point	[-3.68653, 40.43037]	-3.72937	40.45109
103	103	109	104 - Castellana	2	104	Paseo de la Castellana nº 4	1	0	21	11	10	0	Point	[-3.68958, 40.42677]	-3.72937	40.45109
104	104	110	105 - Serrano	0	105	Calle Serrano nº 54	1	0	24	5	19	0	Point	[-3.68745, 40.42699]	-3.72937	40.45109
105	105	111	106a - Colón A	0	106a	Calle Serrano nº 34	1	0	18	2	13	0	Point	[-3.6877227, 40.4251002]	-3.72937	40.45109
106	106	112	106b - Colón B	0	106b	Calle Serrano nº 34	1	0	18	5	13	0	Point	[-3.687745, 40.424963]	-3.72937	40.45109
107	107	113	107 - Columela	2	107	Calle Serrano nº 8	1	0	24	10	14	0	Point	[-3.6884369, 40.4215246]	-3.72937	40.45109
108	108	114	108 - Mártires Concepcionistas	0	108	Calle Mártires Concepcionistas nº 2	1	0	27	6	20	0	Point	[-3.6706024, 40.4273005]	-3.72937	40.45109
109	109	115	109 - Marqués de Salamanca	2	109	Calle José Ortega y Gasset nº 30	1	0	24	10	14	0	Point	[-3.6816402, 40.4300481]	-3.72937	40.45109
110	110	116	110 - Moncloa	2	110	Paseo de Moret nº 2	1	0	24	10	12	0	Point	[-3.7200845, 40.4347895]	-3.72937	40.45109
111	111	117	111a - Arcipreste de Hita A	0	111a	Calle Arcipreste de Hita nº 12	1	0	24	5	19	0	Point	[-3.7175435, 40.4337322]	-3.72937	40.45109
112	112	118	111b - Arcipreste de Hita B	2	111b	Calle Arcipreste de Hita nº 12	1	0	24	9	14	0	Point	[-3.7179687, 40.4341006]	-3.72937	40.45109
113	113	119	112 - Paseo de Moret	2	112	Paseo de Moret nº 11	1	0	24	13	9	1	Point	[-3.7246532, 40.4325991]	-3.72937	40.45109
114	114	120	113 - Pintor Rosales	1	113	Paseo del Pintor Rosales frente al nº 38	1	0	24	23	1	0	Point	[-3.7205129, 40.427657]	-3.72937	40.45109
115	115	121	114 - Quintana	1	114	Calle Quintana nº 11	1	0	24	21	0	0	Point	[-3.7174158, 40.4277456]	-3.72937	40.45109
116	116	122	115 - Ferraz	3	115	Calle Evaristo San Miguel nº 2	1	1	24	0	0	0	Point	[-3.7170448, 40.4253944]	-3.72937	40.45109
117	117	123	116a - Plaza de España A	3	116a	Calle Princesa nº 5	1	1	24	0	0	0	Point	[-3.713053, 40.423668]	-3.72937	40.45109
118	118	124	116b - Plaza de España B	3	116b	Calle Princesa nº 5	1	1	24	0	2	0	Point	[-3.710537, 40.423681]	-3.72937	40.45109
119	119	125	117 - Altamirano	2	117	Calle Altamirano nº 24	1	0	24	10	14	0	Point	[-3.7188898, 40.4309797]	-3.72937	40.45109
120	120	126	118 - Juan Martín	1	118	Calle Juan Martín el Empecinado nº 16	1	0	24	18	6	0	Point	[-3.6882407, 40.400781]	-3.72937	40.45109
121	121	127	119 - Méndez Álvaro	0	119	Calle Méndez Álvaro nº 11	1	0	24	4	20	0	Point	[-3.6863218, 40.4013216]	-3.72937	40.45109
122	122	128	120 - Palos de la Frontera	0	120	Calle Palos de la Frontera nº 27	1	0	24	7	16	0	Point	[-3.6944768, 40.4032208]	-3.72937	40.45109
